epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,506.673,0.49159,0.89062,1,0.20356,0.000235264,0.000235264,0.000235264
2,1039.62,0.22374,0.94792,1,0.12531,0.00043422,0.00043422,0.00043422
3,1458.47,0.1804,0.92708,1,0.15788,0.000593906,0.000593906,0.000593906
4,7177.91,0.15363,0.98438,1,0.05607,0.000537285,0.000537285,0.000537285
5,7525.93,0.09476,0.97396,1,0.05927,0.00047838,0.00047838,0.00047838
6,7870.83,0.11199,0.97917,1,0.05647,0.000419475,0.000419475,0.000419475
7,8218.99,0.11967,0.98438,1,0.03762,0.00036057,0.00036057,0.00036057
8,8561.14,0.06818,0.98438,1,0.04894,0.000301665,0.000301665,0.000301665
9,8907.49,0.07018,0.97917,1,0.04296,0.00024276,0.00024276,0.00024276
10,9253.36,0.05232,0.98958,1,0.02964,0.000183855,0.000183855,0.000183855
11,9898.07,0.04962,0.98958,1,0.02699,0.00012495,0.00012495,0.00012495
12,10213.5,0.04139,0.98958,1,0.02419,6.6045e-05,6.6045e-05,6.6045e-05
