epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.666,2.17815,4.05564,1.58427,0.00404,0.45704,0.15696,0.05404,1.75982,4.18356,1.18842,0.00025722,0.00025722,0.00025722
2,439.68,1.52849,2.79323,1.18188,0.00404,0.42448,0.27596,0.14522,1.56211,3.9033,1.15253,0.000507792,0.000507792,0.000507792
3,661.803,1.52396,2.25005,1.14127,0.0059,0.59177,0.28572,0.14314,1.49175,3.6734,1.10704,0.000736861,0.000736861,0.000736861
4,878.846,1.45791,2.02068,1.14396,0.81716,0.08381,0.32721,0.19427,1.58703,3.36698,1.14591,0.000944426,0.000944426,0.000944426
5,14696.7,1.38488,1.72086,1.10767,0.80921,0.19998,0.40799,0.22399,1.6328,3.11616,1.18232,0.00113049,0.00113049,0.00113049
6,14793.9,1.36577,1.64662,1.08867,0.80225,0.51048,0.68238,0.41546,1.34855,2.33475,1.06999,0.00114606,0.00114606,0.00114606
7,14915.9,1.2771,1.51023,1.07678,0.67887,0.57864,0.66012,0.40712,1.36113,2.02581,1.0992,0.00108947,0.00108947,0.00108947
8,15038,1.24735,1.43874,1.07423,0.66688,0.66585,0.72917,0.47375,1.24802,1.89101,1.04702,0.00103288,0.00103288,0.00103288
9,15156.2,1.22656,1.37532,1.06341,0.76102,0.75224,0.79383,0.52954,1.22669,1.56268,1.05863,0.000976293,0.000976293,0.000976293
10,15275.5,1.20226,1.25487,1.05686,0.73469,0.76611,0.74654,0.49193,1.24044,1.4688,1.04432,0.000919704,0.000919704,0.000919704
11,15391.2,1.19048,1.25599,1.05649,0.76067,0.84691,0.82283,0.54382,1.22616,1.42515,1.02607,0.000863116,0.000863116,0.000863116
12,15504.1,1.17629,1.21194,1.03905,0.76514,0.85713,0.82436,0.56994,1.19487,1.32533,1.02006,0.000806528,0.000806528,0.000806528
13,15619.8,1.15065,1.17822,1.03218,0.84614,0.85329,0.84535,0.58305,1.14382,1.17149,0.99791,0.000749939,0.000749939,0.000749939
14,15732.8,1.11029,1.1152,1.00543,0.82872,0.85916,0.85228,0.60285,1.10357,1.23703,0.97172,0.000693351,0.000693351,0.000693351
15,15853.8,1.11278,1.10352,1.00345,0.84166,0.83366,0.84332,0.58828,1.14118,1.19041,1.0054,0.000636762,0.000636762,0.000636762
16,15968.6,1.08455,1.21687,1.03326,0.80516,0.82826,0.82035,0.58884,1.15661,1.35549,1.00706,0.000580174,0.000580174,0.000580174
17,16085.1,1.0469,1.19054,1.01543,0.8499,0.84493,0.84442,0.61006,1.0751,1.13882,0.97905,0.000523586,0.000523586,0.000523586
18,16195.6,1.02202,1.12682,0.99427,0.81375,0.86571,0.86135,0.63431,1.04464,1.12288,0.97661,0.000466997,0.000466997,0.000466997
19,16309.2,1.04634,1.09735,1.00893,0.88222,0.85718,0.87457,0.62322,1.09075,1.08647,0.96823,0.000410409,0.000410409,0.000410409
20,16420.9,1.07198,1.08155,1.00956,0.88501,0.87986,0.88139,0.65606,1.01269,1.04686,0.95173,0.00035382,0.00035382,0.00035382
21,16532.7,0.97876,1.01561,0.97542,0.89993,0.89028,0.88623,0.66147,1.01563,1.00321,0.94895,0.000297232,0.000297232,0.000297232
22,16647,0.9755,0.99656,0.98522,0.88481,0.89081,0.88772,0.6581,1.00779,1.01942,0.94444,0.000240644,0.000240644,0.000240644
23,16760.3,0.95578,0.98195,0.97264,0.88777,0.88808,0.89064,0.66201,1.00419,0.99847,0.95052,0.000184055,0.000184055,0.000184055
24,16870.7,0.9417,0.9622,0.97246,0.90996,0.88462,0.89479,0.68154,0.9751,0.96092,0.94756,0.000127467,0.000127467,0.000127467
25,16980.4,0.92628,0.9268,0.95326,0.90509,0.88808,0.89467,0.67936,0.9727,0.95895,0.94514,7.08784e-05,7.08784e-05,7.08784e-05
